author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/314814932/;Москва;sale;flat;14;23;3;89.9;49045500;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;63,2 м²;7,3 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/315273305/;Москва;sale;flat;23;27;2;74.3;38983200;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;48,9 м²;9,7 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Sminex;developer;https://www.cian.ru/sale/flat/313246215/;Москва;sale;flat;3;6;3;170.9;405180000;2026;-1;Монолитный;-1;Без отделки;52,5 м²;45,2 м²;+74951347314;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
Группа Родина;developer;https://www.cian.ru/sale/flat/313630882/;Москва;sale;flat;13;31;3;81.2;30793600;2027;-1;Монолитно-кирпичный;-1;Без отделки;57,2 м²;-1;+74997159968;Ново-Переделкино;шоссе Боровское (дублер);;Новопеределкино;РОДИНА ПЕРЕДЕЛКИНО
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243036/;Москва;sale;flat;19;23;2;78.3;40061300;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;49,4 м²;10 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Группа Родина;developer;https://www.cian.ru/sale/flat/315366350/;Москва;sale;flat;10;31;3;62.9;24461170;2027;-1;Монолитно-кирпичный;-1;Без отделки;43,1 м²;-1;+74997159968;Ново-Переделкино;шоссе Боровское (дублер);;Новопеределкино;РОДИНА ПЕРЕДЕЛКИНО
Sminex;developer;https://www.cian.ru/sale/flat/309097274/;Москва;sale;flat;6;6;3;242.9;861380000;2026;-1;Монолитный;-1;Без отделки;73,3 м²;65,2 м²;+74951347314;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
Sminex;developer;https://www.cian.ru/sale/flat/313246220/;Москва;sale;flat;5;6;5;259.1;761110000;2026;-1;Монолитный;-1;Без отделки;93,4 м²;75,8 м²;+74951347314;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
Sminex;developer;https://www.cian.ru/sale/flat/313246221/;Москва;sale;flat;6;6;4;280.6;962210000;2026;-1;Монолитный;-1;Без отделки;79,4 м²;81,7 м²;+74951347314;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
Sminex;developer;https://www.cian.ru/sale/flat/313246222/;Москва;sale;flat;5;6;5;283.0;832610000;2026;-1;Монолитный;-1;Без отделки;185,5 м²;20 м²;+74951347314;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
Sminex;developer;https://www.cian.ru/sale/flat/313246216/;Москва;sale;flat;5;6;4;180.4;535230000;2026;-1;Монолитный;-1;Без отделки;73,3 м²;41,7 м²;+74951347314;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
Sminex;developer;https://www.cian.ru/sale/flat/294328857/;Москва;sale;flat;3;6;2;124.3;294560000;2026;-1;Монолитный;-1;Без отделки;37,8 м²;39,4 м²;+74951347314;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/315273306/;Москва;sale;flat;5;23;3;95.2;45650800;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;58,7 м²;9,6 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Группа Родина;developer;https://www.cian.ru/sale/flat/312347331/;Москва;sale;flat;9;31;1;26.7;11845330;2027;-1;Монолитно-кирпичный;-1;Без отделки;13,3 м²;-1;+74997159968;Ново-Переделкино;шоссе Боровское (дублер);;Новопеределкино;РОДИНА ПЕРЕДЕЛКИНО
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/314049573/;Москва;sale;flat;17;20;1;51.3;33600200;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;31,9 м²;7,5 м²;+74951387097;Басманный;;;Бауманская;Дом 56 ЖК
Группа Родина;developer;https://www.cian.ru/sale/flat/315366351/;Москва;sale;flat;10;31;2;37.6;14388000;2027;-1;Монолитно-кирпичный;-1;Без отделки;23,1 м²;-1;+74997159968;Ново-Переделкино;шоссе Боровское (дублер);;Новопеределкино;РОДИНА ПЕРЕДЕЛКИНО
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243034/;Москва;sale;flat;21;23;2;66.1;36272800;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;42,8 м²;6,4 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/314249249/;Москва;sale;flat;18;27;1;27.6;17990000;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;11,1 м²;8,7 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/308971069/;Москва;sale;flat;17;27;1;49.0;27784000;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;27,7 м²;7,8 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/313364795/;Москва;sale;flat;19;27;1;46.7;26809100;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;26,8 м²;7,4 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/314659899/;Москва;sale;flat;21;27;1;29.6;18313200;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;12,5 м²;7,8 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/302186750/;Москва;sale;flat;19;27;2;73.0;37426000;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;47,7 м²;9,6 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/314049575/;Москва;sale;flat;16;20;3;99.7;63359500;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;-1;-1;+74951387097;Басманный;;;Бауманская;Дом 56 ЖК
Группа Родина;developer;https://www.cian.ru/sale/flat/312989772/;Москва;sale;flat;21;31;2;38.5;15500000;2027;-1;Монолитно-кирпичный;-1;Без отделки;24,6 м²;-1;+74997159968;Ново-Переделкино;шоссе Боровское (дублер);;Новопеределкино;РОДИНА ПЕРЕДЕЛКИНО
Группа Родина;developer;https://www.cian.ru/sale/flat/312348071/;Москва;sale;flat;3;31;2;51.2;16996000;2027;-1;Монолитно-кирпичный;-1;Без отделки;26,7 м²;-1;+74997159968;Ново-Переделкино;шоссе Боровское (дублер);;Новопеределкино;РОДИНА ПЕРЕДЕЛКИНО
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/314814926/;Москва;sale;flat;9;23;1;47.6;25658800;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;28,6 м²;4,7 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Группа Родина;developer;https://www.cian.ru/sale/flat/315270942/;Москва;sale;flat;15;31;2;37.3;14647000;2027;-1;Монолитно-кирпичный;-1;Без отделки;23,1 м²;-1;+74997159968;Ново-Переделкино;шоссе Боровское (дублер);;Новопеределкино;РОДИНА ПЕРЕДЕЛКИНО
Level Group;developer;https://www.cian.ru/sale/flat/312650674/;Москва;sale;flat;4;17;3;73.9;;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;28,3 м²;25,8 м²;+74951387045;Басманный;Большая Почтовая ;;Электрозаводская;Level Бауманская
Sminex;developer;https://www.cian.ru/sale/flat/313246217/;Москва;sale;flat;5;6;4;201.8;585790000;2026;-1;Монолитный;-1;Без отделки;84 м²;59,7 м²;+74951347314;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/315227347/;Москва;sale;flat;6;20;1;51.7;32104000;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;32,3 м²;7,5 м²;+74951387097;Басманный;;;Бауманская;Дом 56 ЖК
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/301910980/;Москва;sale;flat;13;20;1;49.5;31136000;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;29,2 м²;8 м²;+74951387097;Басманный;;;Бауманская;Дом 56 ЖК
AFI Development;developer;https://www.cian.ru/sale/flat/314000505/;Москва;sale;flat;3;14;1;29.3;12865539;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+74951370511;Басманный;Большая Почтовая ;24;Электрозаводская;Резиденции Архитекторов
Level Group;developer;https://www.cian.ru/sale/flat/312581384/;Москва;sale;flat;7;9;5;114.4;;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;60,2 м²;23,1 м²;+74951387045;Басманный;Большая Почтовая ;;Бауманская;Level Бауманская
Level Group;developer;https://www.cian.ru/sale/flat/312581404/;Москва;sale;flat;15;17;4;96.2;;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;51,8 м²;21,7 м²;+74951387045;Басманный;Большая Почтовая ;;Электрозаводская;Level Бауманская
Level Group;developer;https://www.cian.ru/sale/flat/312581393/;Москва;sale;flat;9;9;2;40.3;;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;13,8 м²;19 м²;+74951387045;Басманный;Большая Почтовая ;;Бауманская;Level Бауманская
Level Group;developer;https://www.cian.ru/sale/flat/314660369/;Москва;sale;flat;12;21;3;70.9;;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;25,1 м²;24,8 м²;+74951387045;Басманный;Большая Почтовая ;;Электрозаводская;Level Бауманская
Level Group;developer;https://www.cian.ru/sale/flat/313212427/;Москва;sale;flat;19;21;4;97.4;;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;43,4 м²;34,2 м²;+74951387045;Басманный;Большая Почтовая ;;Электрозаводская;Level Бауманская
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/314049571/;Москва;sale;flat;16;20;1;49.4;31517800;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;29,1 м²;8 м²;+74951387097;Басманный;;;Бауманская;Дом 56 ЖК
Группа Родина;developer;https://www.cian.ru/sale/flat/314111828/;Москва;sale;flat;17;31;3;70.7;28167900;2027;-1;Монолитно-кирпичный;-1;Без отделки;47,7 м²;-1;+74997159968;Ново-Переделкино;шоссе Боровское (дублер);;Новопеределкино;РОДИНА ПЕРЕДЕЛКИНО
Группа Родина;developer;https://www.cian.ru/sale/flat/315366335/;Москва;sale;flat;10;31;2;45.0;16300000;2027;-1;Монолитно-кирпичный;-1;Без отделки;25,8 м²;-1;+74997159968;Ново-Переделкино;шоссе Боровское (дублер);;Новопеределкино;РОДИНА ПЕРЕДЕЛКИНО
AFI Development;developer;https://www.cian.ru/sale/flat/314000343/;Москва;sale;flat;4;14;1;55.0;27705484;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+74951370511;Басманный;;;Электрозаводская;Резиденции Архитекторов ЖК
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/312742461/;Москва;sale;flat;1;27;1;50.2;26003400;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;27,7 м²;7,8 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Level Group;developer;https://www.cian.ru/sale/flat/312581368/;Москва;sale;flat;21;21;3;77.7;;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;24,3 м²;30,2 м²;+74951387045;Басманный;Большая Почтовая ;;Электрозаводская;Level Бауманская
Группа Родина;developer;https://www.cian.ru/sale/flat/312348054/;Москва;sale;flat;3;31;1;23.6;10507600;2027;-1;Монолитно-кирпичный;-1;Без отделки;12,4 м²;-1;+74997159968;Ново-Переделкино;шоссе Боровское (дублер);;Новопеределкино;РОДИНА ПЕРЕДЕЛКИНО
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/313744383/;Москва;sale;flat;25;27;2;74.6;39588000;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;49,2 м²;9,7 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Level Group;developer;https://www.cian.ru/sale/flat/313377580/;Москва;sale;flat;3;11;1;37.9;;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;13,5 м²;15,2 м²;+74951387045;Басманный;Большая Почтовая ;;Бауманская;Level Бауманская
Level Group;developer;https://www.cian.ru/sale/flat/313499404/;Москва;sale;flat;2;13;3;62.1;;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;23,8 м²;22,3 м²;+74951387045;Басманный;Большая Почтовая ;;Бауманская;Level Бауманская
AFI Development;developer;https://www.cian.ru/sale/flat/314000581/;Москва;sale;flat;6;14;1;53.4;22793652;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+74951370511;Басманный;Большая Почтовая ;24;Электрозаводская;Резиденции Архитекторов
Группа Родина;developer;https://www.cian.ru/sale/flat/315270940/;Москва;sale;flat;15;31;2;46.1;16696000;2027;-1;Монолитно-кирпичный;-1;Без отделки;29,4 м²;-1;+74997159968;Ново-Переделкино;шоссе Боровское (дублер);;Новопеределкино;РОДИНА ПЕРЕДЕЛКИНО
Level Group;developer;https://www.cian.ru/sale/flat/313499406/;Москва;sale;flat;3;11;3;73.5;;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;31,2 м²;25,2 м²;+74951387045;Басманный;Большая Почтовая ;;Бауманская;Level Бауманская
AFI Development;developer;https://www.cian.ru/sale/flat/314000353/;Москва;sale;flat;4;14;1;29.9;14808145;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+74951370511;Басманный;;;Электрозаводская;Резиденции Архитекторов ЖК
Level Group;developer;https://www.cian.ru/sale/flat/314705920/;Москва;sale;flat;2;13;3;65.1;;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;24,8 м²;23,4 м²;+74951387045;Басманный;Большая Почтовая ;;Бауманская;Level Бауманская
AFI Development;developer;https://www.cian.ru/sale/flat/314000630/;Москва;sale;flat;11;14;1;45.2;21039715;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+74951370511;Басманный;Большая Почтовая ;24;Электрозаводская;Резиденции Архитекторов
Level Group;developer;https://www.cian.ru/sale/flat/312581390/;Москва;sale;flat;11;11;1;21.5;;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;9 м²;2,9 м²;+74951387045;Басманный;Большая Почтовая ;;Бауманская;Level Бауманская
AFI Development;developer;https://www.cian.ru/sale/flat/314000321/;Москва;sale;flat;4;14;1;40.8;18610983;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+74951370511;Басманный;;;Электрозаводская;Резиденции Архитекторов ЖК
AFI Development;developer;https://www.cian.ru/sale/flat/314000535/;Москва;sale;flat;6;14;1;30.3;14161158;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+74951370511;Басманный;Большая Почтовая ;24;Электрозаводская;Резиденции Архитекторов
AFI Development;developer;https://www.cian.ru/sale/flat/314000360/;Москва;sale;flat;4;14;1;45.0;21523268;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+74951370511;Басманный;;;Электрозаводская;Резиденции Архитекторов ЖК
AFI Development;developer;https://www.cian.ru/sale/flat/314000522/;Москва;sale;flat;3;14;1;53.5;22433046;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+74951370511;Басманный;Большая Почтовая ;24;Электрозаводская;Резиденции Архитекторов
Level Group;developer;https://www.cian.ru/sale/flat/312769103/;Москва;sale;flat;2;13;3;70.4;;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;28,9 м²;22,7 м²;+74951387045;Басманный;Большая Почтовая ;;Бауманская;Level Бауманская
Level Group;developer;https://www.cian.ru/sale/flat/314181568/;Москва;sale;flat;3;9;3;70.6;;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;33,4 м²;20,4 м²;+74951387045;Басманный;Большая Почтовая ;;Бауманская;Level Бауманская
AFI Development;developer;https://www.cian.ru/sale/flat/314000597/;Москва;sale;flat;11;14;1;58.5;29187459;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+74951370511;Басманный;Большая Почтовая ;24;Электрозаводская;Резиденции Архитекторов
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243016/;Москва;sale;flat;24;27;1;29.4;18483800;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;12,3 м²;7,8 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
AFI Development;developer;https://www.cian.ru/sale/flat/314000474/;Москва;sale;flat;3;14;1;30.5;14024717;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+74951370511;Басманный;Большая Почтовая ;24;Электрозаводская;Резиденции Архитекторов
AFI Development;developer;https://www.cian.ru/sale/flat/314000326/;Москва;sale;flat;4;14;1;41.5;18891185;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+74951370511;Басманный;;;Электрозаводская;Резиденции Архитекторов ЖК
AFI Development;developer;https://www.cian.ru/sale/flat/314000402/;Москва;sale;flat;7;14;1;47.6;22946243;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+74951370511;Басманный;;;Электрозаводская;Резиденции Архитекторов ЖК
AFI Development;developer;https://www.cian.ru/sale/flat/314000589/;Москва;sale;flat;11;14;1;41.8;19555548;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+74951370511;Басманный;Большая Почтовая ;24;Электрозаводская;Резиденции Архитекторов
AFI Development;developer;https://www.cian.ru/sale/flat/314000440/;Москва;sale;flat;10;14;1;31.2;15363781;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+74951370511;Басманный;;;Электрозаводская;Резиденции Архитекторов ЖК
AFI Development;developer;https://www.cian.ru/sale/flat/314000363/;Москва;sale;flat;4;14;1;47.2;22330904;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;-1;-1;+74951370511;Басманный;;;Электрозаводская;Резиденции Архитекторов ЖК
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/315097970/;Москва;sale;flat;3;8;2;63.3;29000000;1941;-1;-1;-1;-1;35 м²;7 м²;+79857048937;Басманный; Воронцово Поле;;Чкаловская;
ИНКОМ-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315170910/;Москва;sale;flat;4;6;2;72.7;46000000;1998;-1;-1;-1;-1;38,7 м²;12 м²;+79671668161;Басманный;Фурманный переулок;16С1;Красные ворота;
Самолет Плюс Гарантия;real_estate_agent;https://www.cian.ru/sale/flat/313305109/;Москва;sale;flat;16;24;3;58.0;19490000;2023;-1;-1;-1;-1;23 м²;18,5 м²;+79663005407;Донской;Новоданиловская набережная;8к1;Верхние котлы;Новоданиловская 8
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/309776504/;Москва;sale;flat;16;16;3;123.0;63690000;2021;-1;-1;-1;-1;-1;-1;+79166341734;Даниловский;Павелецкая набережная;6А;Крестьянская застава;Резиденции Композиторов
Октава-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/311524448/;Москва;sale;flat;9;11;-1;167.4;99900000;2020;-1;-1;-1;-1;130,3 м²;20 м²;+79623653720;Басманный;Большая Почтовая ;32к9;Электрозаводская;Резиденции Архитекторов
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/315039072/;Москва;sale;flat;19;20;2;41.0;29900000;2025;-1;-1;-1;-1;20 м²;7 м²;+79651883932;Даниловский;Автозаводская ;26/1;Тульская;FORST
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/309522583/;Москва;sale;flat;11;11;5;179.2;98000000;2022;-1;-1;-1;-1;-1;15 м²;+79166739622;Басманный; Казакова;7;Курская;KAZAKOV Grand Loft
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299237057/;Москва;sale;flat;13;21;3;61.0;42000000;2024;-1;-1;-1;-1;27 м²;19,3 м²;+79660640585;Басманный; Земляной Вал;37;Чкаловская;Дом Chkalov
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/313643762/;Москва;sale;flat;4;4;3;71.4;32000000;2011;-1;-1;-1;-1;40 м²;10 м²;+79851632313;Донской;Варшавское шоссе;9с28;Тульская;
Центр Инвест;developer;https://www.cian.ru/sale/flat/310788202/;Москва;sale;flat;17;22;2;42.6;32304179;2022;-1;Монолитный;-1;Без отделки;24 м²;8 м²;+74996486371;Красносельский;Большая Спасская ;35;Площадь трёх вокзалов;Dialog
