author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/315712206/;Москва;sale;flat;12;13;1;35.1;14862200;2028;-1;Монолитный;-1;Без отделки;14 м²;10,4 м²;74951387121;Печатники;Шоссейная ;4Д;Печатники;Адмирал
Группа Аквилон;developer;https://www.cian.ru/sale/flat/312156145/;Москва;sale;flat;5;23;1;28.0;10893484;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;17,9 м²;3,6 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309370819/;Москва;sale;flat;21;23;-1;28.7;11129401;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;13,9 м²;1,1 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/315776821/;Москва;sale;flat;3;23;1;29.3;10722862;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;14,1 м²;3,6 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309372619/;Москва;sale;flat;6;23;-1;29.9;10299524;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;14,4 м²;3,7 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309370574/;Москва;sale;flat;18;23;-1;33.5;11255250;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;18 м²;1,3 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309370550/;Москва;sale;flat;17;23;1;33.7;11602456;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;12,3 м²;11,4 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309370270/;Москва;sale;flat;20;23;1;35.0;13243630;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;22,6 м²;3,6 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/315776828/;Москва;sale;flat;3;23;1;35.5;10826125;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;12,4 м²;11,8 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309372442/;Москва;sale;flat;2;23;-1;35.8;10252651;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;20,4 м²;6,3 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/315776829/;Москва;sale;flat;3;23;1;36.9;10705049;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;12,9 м²;12,1 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309370302/;Москва;sale;flat;2;23;1;38.3;11189716;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;13,9 м²;13,3 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309370312/;Москва;sale;flat;2;23;1;40.0;11475320;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;12,5 м²;15,7 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309639254/;Москва;sale;flat;3;23;2;40.4;14036989;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;33,4 м²;2 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309372451/;Москва;sale;flat;2;23;1;41.3;11634417;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;22,9 м²;4,2 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309639339/;Москва;sale;flat;3;23;-1;41.3;11162232;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;24,2 м²;4,3 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309639263/;Москва;sale;flat;9;23;2;41.4;14468863;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;30,1 м²;2 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309639261/;Москва;sale;flat;8;23;2;41.9;14562806;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;33,3 м²;2 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/315776830/;Москва;sale;flat;5;23;1;42.1;12333083;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;12,9 м²;12,1 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309639303/;Москва;sale;flat;2;23;2;42.7;14559590;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;29,5 м²;2 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/313202302/;Москва;sale;flat;5;23;1;43.4;12911413;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;19 м²;4,8 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309639276/;Москва;sale;flat;4;23;-1;43.7;10876974;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;28,4 м²;1,1 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309372454/;Москва;sale;flat;2;23;1;44.3;12196100;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;30,7 м²;4,8 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309372456/;Москва;sale;flat;2;23;1;44.9;12378526;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;28 м²;2,7 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309370191/;Москва;sale;flat;9;23;1;45.5;13110871;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;24,6 м²;2,9 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309372554/;Москва;sale;flat;4;23;1;47.1;13545301;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;20,2 м²;3,2 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309370404/;Москва;sale;flat;9;23;1;47.9;14090039;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;25,5 м²;3,6 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309372453/;Москва;sale;flat;2;23;1;49.0;13105295;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;36 м²;3,2 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309370307/;Москва;sale;flat;2;23;2;49.8;14196277;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;24,8 м²;9,7 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309370193/;Москва;sale;flat;9;23;1;51.1;14335118;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;31,7 м²;1,8 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Группа Аквилон;developer;https://www.cian.ru/sale/flat/309370304/;Москва;sale;flat;2;23;1;51.9;13771959;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;37,3 м²;4,4 м²;74996493878;Отрадное;Сигнальный проезд;12;Владыкино;Апарт-комплекс Akvilon Signal
Sun Development;developer;https://www.cian.ru/sale/flat/313112251/;Москва;sale;flat;10;10;-1;28.1;10374520;2024;-1;Монолитный;-1;Без отделки;19,6 м²;3,5 м²;74951387367;Головинский;Михалковская ;54;Коптево;Апарт-комплекс Monodom Lake
Sun Development;developer;https://www.cian.ru/sale/flat/313112224/;Москва;sale;flat;10;10;-1;32.4;11402208;2024;-1;Монолитный;-1;Без отделки;23,7 м²;3,7 м²;74951387367;Головинский;Михалковская ;54;Коптево;Апарт-комплекс Monodom Lake
Sun Development;developer;https://www.cian.ru/sale/flat/313112259/;Москва;sale;flat;2;10;-1;35.4;11505000;2024;-1;Монолитный;-1;Без отделки;27,3 м²;3,1 м²;74951387367;Головинский;Михалковская ;54;Коптево;Апарт-комплекс Monodom Lake
Sun Development;developer;https://www.cian.ru/sale/flat/313112225/;Москва;sale;flat;2;10;-1;35.6;11219242;2024;-1;Монолитный;-1;Без отделки;27,5 м²;3,1 м²;74951387367;Головинский;Михалковская ;54;Коптево;Апарт-комплекс Monodom Lake
Главстрой;developer;https://www.cian.ru/sale/flat/296921048/;Москва;sale;flat;2;26;4;125.7;67208270;2025;-1;Монолитно-кирпичный;-1;Без отделки;56,6 м²;36,2 м²;74951379308;Филевский парк;Береговой проезд;2;Фили;Береговой-2
Главстрой;developer;https://www.cian.ru/sale/flat/311240310/;Москва;sale;flat;2;26;1;44.1;23250887;2025;-1;Монолитно-кирпичный;-1;Без отделки;13,9 м²;14,8 м²;74951379308;Филевский парк;Береговой проезд;2;Фили;Береговой-2
Главстрой;developer;https://www.cian.ru/sale/flat/296921213/;Москва;sale;flat;6;26;2;65.8;33121417;2025;-1;Монолитно-кирпичный;-1;Без отделки;21 м²;22,4 м²;74951379308;Филевский парк;Береговой проезд;2;Фили;Береговой-2
Главстрой;developer;https://www.cian.ru/sale/flat/296921020/;Москва;sale;flat;2;26;3;91.4;46562559;2025;-1;Монолитно-кирпичный;-1;Без отделки;44,2 м²;7,9 м²;74951379308;Филевский парк;Береговой проезд;2;Фили;Береговой-2
ПИК;developer;https://www.cian.ru/sale/flat/314180099/;Москва;sale;flat;2;23;1;45.6;14092019;2023;-1;Монолитный;-1;Чистовая;29 м²;6,1 м²;74951377582;Текстильщики;1-й Грайвороновский проезд;13к4;Новохохловская;Волжский парк
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/310970855/;Москва;sale;flat;7;46;1;44.7;35715300;2028;-1;-1;-1;Без отделки;15,8 м²;16,5 м²;74997098514;Хорошево-Мневники; Демьяна Бедного;вл24;Карамышевская;Высотка на Жукова
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/310927579/;Москва;sale;flat;5;46;2;77.2;53422400;2028;-1;-1;-1;Без отделки;36,2 м²;15,2 м²;74997098514;Хорошево-Мневники; Демьяна Бедного;вл24;Карамышевская;Высотка на Жукова
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/310927647/;Москва;sale;flat;5;46;3;79.9;55850100;2028;-1;-1;-1;Без отделки;38 м²;19,9 м²;74997098514;Хорошево-Мневники; Демьяна Бедного;вл24;Карамышевская;Высотка на Жукова
Upside Development;developer;https://www.cian.ru/sale/flat/308954460/;Москва;sale;flat;11;12;1;46.2;28182000;2020;-1;Монолитно-кирпичный;-1;-;-1;-1;74996481451;Даниловский;2-я Рощинская;1;Тульская;Данилов дом
Upside Development;developer;https://www.cian.ru/sale/flat/308954462/;Москва;sale;flat;11;12;2;77.0;47740000;2020;-1;Монолитно-кирпичный;-1;-;-1;-1;74996481451;Даниловский;2-я Рощинская;1;Тульская;Данилов дом
ЛСР;developer;https://www.cian.ru/sale/flat/302936999/;Москва;sale;flat;19;32;1;22.4;11458316;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая, чистовая с мебелью;8,6 м²;8 м²;74951378813;Западное Дегунино;Ильменский проезд;2;Селигерская;Дмитровское небо
ЛСР;developer;https://www.cian.ru/sale/flat/293202761/;Москва;sale;flat;32;32;1;22.5;12569400;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая, чистовая с мебелью;9,7 м²;6,1 м²;74951378813;Западное Дегунино;Ильменский проезд;2;Селигерская;Дмитровское небо
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/313055123/;Москва;sale;flat;9;27;1;27.5;17210000;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;11 м²;8,7 м²;74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/314659901/;Москва;sale;flat;16;27;1;45.2;24819600;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;26,8 м²;7,8 м²;74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/310487934/;Москва;sale;flat;2;23;2;72.6;37221200;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;42,8 м²;13,2 м²;74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/313744390/;Москва;sale;flat;13;23;3;85.5;41688500;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;55,7 м²;10 м²;74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
TOUCH;developer;https://www.cian.ru/sale/flat/312659948/;Москва;sale;flat;4;27;1;46.32;34518000;2027;-1;Монолитный;-1;Черновая;33,9 м²;6,5 м²;74996482977;Крылатское;Крылатская ;23;Крылатское;Дом Горизонтов
TOUCH;developer;https://www.cian.ru/sale/flat/312659936/;Москва;sale;flat;4;27;2;65.91;47782000;2027;-1;Монолитный;-1;Черновая;44 м²;6,8 м²;74996482977;Крылатское;Крылатская ;23;Крылатское;Дом Горизонтов
TOUCH;developer;https://www.cian.ru/sale/flat/312659941/;Москва;sale;flat;4;27;3;88.68;64184000;2027;-1;Монолитный;-1;Черновая;52,2 м²;8,5 м²;74996482977;Крылатское;Крылатская ;23;Крылатское;Дом Горизонтов
Sminex;developer;https://www.cian.ru/sale/flat/315094961/;Москва;sale;flat;20;21;1;25.2;21650000;2025;-1;Монолитный;-1;Без отделки;10 м²;6,8 м²;74951347316;Марфино; Академика Королева;21;Бутырская;Дом Достижение
Sminex;developer;https://www.cian.ru/sale/flat/315094959/;Москва;sale;flat;15;28;1;36.4;23420000;2025;-1;Монолитный;-1;Без отделки;16,7 м²;10,3 м²;74951347316;Марфино; Академика Королева;21;Бутырская;Дом Достижение
Sminex;developer;https://www.cian.ru/sale/flat/315094916/;Москва;sale;flat;16;21;2;60.3;36550000;2025;-1;Монолитный;-1;Без отделки;24,5 м²;22,3 м²;74951347316;Марфино; Академика Королева;21;Бутырская;Дом Достижение
Sminex;developer;https://www.cian.ru/sale/flat/315094898/;Москва;sale;flat;2;21;3;79.8;46530000;2025;-1;Монолитный;-1;Без отделки;37,8 м²;15,2 м²;74951347316;Марфино; Академика Королева;21;Бутырская;Дом Достижение
А101;developer;https://www.cian.ru/sale/flat/315217999/;Москва;sale;flat;3;16;1;24.5;14417180;2025;-1;Монолитно-кирпичный;-1;Предчистовая;9,6 м²;5,6 м²;74951379043;Сокол; Зорге;25С2;Октябрьское поле;Дом на Зорге
Capital Group;developer;https://www.cian.ru/sale/flat/314160336/;Москва;sale;flat;3;4;3;183.4;370000000;2021;-1;Монолитный;-1;-;-1;-1;74951379022;Якиманка;Софийская набережная;10;Боровицкая;Золотой, жилой квартал
Capital Group;developer;https://www.cian.ru/sale/flat/315089390/;Москва;sale;flat;2;6;2;212.4;433296000;2023;-1;Монолитный;-1;-;-1;-1;74951379022;Якиманка;Софийская набережная;18;Боровицкая;Золотой, жилой квартал
Мангазея;developer;https://www.cian.ru/sale/flat/312935391/;Москва;sale;flat;17;21;1;48.1;28490832;2023;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;15,8 м²;15,5 м²;74951379080;Щукино;Щукинская ;3;Октябрьское поле;Интонация
Мангазея;developer;https://www.cian.ru/sale/flat/312935382/;Москва;sale;flat;2;21;2;74.2;38072020;2023;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;33,5 м²;14,2 м²;74951379080;Щукино;Щукинская ;3;Октябрьское поле;Интонация
Sminex;developer;https://www.cian.ru/sale/flat/313246214/;Москва;sale;flat;3;6;2;120.3;272480000;2026;-1;Монолитный;-1;Без отделки;35,8 м²;37 м²;74951347314;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
Sminex;developer;https://www.cian.ru/sale/flat/313246215/;Москва;sale;flat;3;6;3;170.9;412260000;2026;-1;Монолитный;-1;Без отделки;52,5 м²;45,2 м²;74951347314;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
Sminex;developer;https://www.cian.ru/sale/flat/303463986/;Москва;sale;flat;2;6;4;176.5;400390000;2026;-1;Монолитный;-1;Без отделки;53,4 м²;70,7 м²;74951347314;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
Sminex;developer;https://www.cian.ru/sale/flat/313246212/;Москва;sale;flat;3;6;1;78.7;193940000;2026;-1;Монолитный;-1;Без отделки;15,7 м²;33,2 м²;74951347314;Басманный;Потаповский переулок;5С4;Красные ворота;Исторический дом 
ПИК;developer;https://www.cian.ru/sale/flat/312645492/;Москва;sale;flat;23;33;1;25.5;10432050;2025;-1;Монолитный;-1;Предчистовая, чистовая;12,5 м²;6,4 м²;74997194833;Царицыно;Кавказский бульвар;51к2;Царицыно;Кавказский бульвар 51
ПИК;developer;https://www.cian.ru/sale/flat/306670150/;Москва;sale;flat;33;33;1;32.3;12467800;2025;-1;Монолитный;-1;Предчистовая, чистовая;9,5 м²;16,1 м²;74997194833;Царицыно;Кавказский бульвар;51к2;Царицыно;Кавказский бульвар 51
ПИК;developer;https://www.cian.ru/sale/flat/312956268/;Москва;sale;flat;22;33;1;34.1;12599950;2025;-1;Монолитный;-1;Предчистовая, чистовая;14 м²;10,5 м²;74997194833;Царицыно;Кавказский бульвар;51к2;Царицыно;Кавказский бульвар 51
ПИК;developer;https://www.cian.ru/sale/flat/313309557/;Москва;sale;flat;3;23;1;35.4;14167080;2025;-1;Монолитный;-1;Предчистовая, чистовая;10,3 м²;18,1 м²;74997194833;Царицыно;Кавказский бульвар;51к2;Царицыно;Кавказский бульвар 51
ПИК;developer;https://www.cian.ru/sale/flat/306670101/;Москва;sale;flat;33;33;1;36.0;13089600;2025;-1;Монолитный;-1;Предчистовая, чистовая;11,1 м²;17,3 м²;74997194833;Царицыно;Кавказский бульвар;51к2;Царицыно;Кавказский бульвар 51
ПИК;developer;https://www.cian.ru/sale/flat/313384082/;Москва;sale;flat;13;33;1;42.2;13997740;2025;-1;Монолитный;-1;Предчистовая, чистовая;14,6 м²;18,6 м²;74997194833;Царицыно;Кавказский бульвар;51к2;Царицыно;Кавказский бульвар 51
Брусника;developer;https://www.cian.ru/sale/flat/315410958/;Москва;sale;flat;11;31;1;28.3;11930000;2026;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;16,7 м²;5,3 м²;74951387249;Метрогородок;Тагильская ;6/5;Бульвар Рокоссовского;Квартал Метроном
Брусника;developer;https://www.cian.ru/sale/flat/315410961/;Москва;sale;flat;19;31;1;28.5;11950000;2026;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;16,8 м²;5,3 м²;74951387249;Метрогородок;Тагильская ;6/5;Бульвар Рокоссовского;Квартал Метроном
Брусника;developer;https://www.cian.ru/sale/flat/315783007/;Москва;sale;flat;6;31;1;28.6;10680000;2026;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;16,9 м²;4,9 м²;74951387249;Метрогородок;Тагильская ;6/1;Бульвар Рокоссовского;Квартал Метроном
Брусника;developer;https://www.cian.ru/sale/flat/315411002/;Москва;sale;flat;8;24;1;29.8;12110000;2026;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;17,6 м²;5,8 м²;74951387249;Метрогородок;Тагильская ;6/5;Бульвар Рокоссовского;Квартал Метроном
Брусника;developer;https://www.cian.ru/sale/flat/315410942/;Москва;sale;flat;25;31;1;29.9;11650000;2026;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;20 м²;4,9 м²;74951387249;Метрогородок;Тагильская ;6/1;Бульвар Рокоссовского;Квартал Метроном
Брусника;developer;https://www.cian.ru/sale/flat/315411005/;Москва;sale;flat;4;24;1;30.5;12140000;2026;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;19,7 м²;5,8 м²;74951387249;Метрогородок;Тагильская ;6/5;Бульвар Рокоссовского;Квартал Метроном
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/311682129/;Москва;sale;flat;2;6;3;119.74;275502000;2025;-1;Монолитно-кирпичный;-1;Без отделки;48 м²;32,6 м²;74951387122;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/309842552/;Москва;sale;flat;2;6;1;47.24;141820000;2025;-1;Монолитно-кирпичный;-1;Без отделки;28,3 м²;5,3 м²;74951387122;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/311682128/;Москва;sale;flat;2;6;2;73.46;183750000;2025;-1;Монолитно-кирпичный;-1;Без отделки;41,2 м²;8,5 м²;74951387122;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
Hutton Development;developer;https://www.cian.ru/sale/flat/312982697/;Москва;sale;flat;3;6;3;134.1;348660000;2026;-1;-1;-1;Без отделки;-1;-1;74996482969;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
Hutton Development;developer;https://www.cian.ru/sale/flat/312982688/;Москва;sale;flat;2;6;1;48.3;113022000;2026;-1;-1;-1;Без отделки;-1;-1;74996482969;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
Hutton Development;developer;https://www.cian.ru/sale/flat/312982736/;Москва;sale;flat;5;6;2;75.6;211680000;2026;-1;-1;-1;Неизвестно;-1;-1;74996482969;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
MR Group;developer;https://www.cian.ru/sale/flat/315223767/;Москва;sale;flat;11;13;3;134.95;238524125;2025;-1;Монолитно-кирпичный;-1;Чистовая;38,1 м²;-1;74951387239;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
MR Group;developer;https://www.cian.ru/sale/flat/315159389/;Москва;sale;flat;7;13;1;46.81;88508348;2025;-1;Монолитно-кирпичный;-1;Чистовая;18,7 м²;-1;74951387239;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
MR Group;developer;https://www.cian.ru/sale/flat/315159380/;Москва;sale;flat;7;13;2;84.6;138092580;2025;-1;Монолитно-кирпичный;-1;Чистовая;30 м²;-1;74951387239;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
Спартак;developer;https://www.cian.ru/sale/flat/313194408/;Москва;sale;flat;13;14;2;76.6;21803390;2023;-1;-1;-1;Без отделки;28 м²;34,6 м²;74951387039;Ясенево;Новоясеневский проспект;3В;Тёплый Стан;Комплекс апартаментов LES
